Date,State,Peak_Load_MW,Base_Load_MW,Industrial_%,Residential_%,EV_Load_MW,Temperature,Demand_Growth_%
2020-01-11 0:00:00,Tamil Nadu,4906.8,3434.76,37,47,200.8,27,0.4
2020-01-11 0:00:00,Karnataka,4198.2,2938.74,38,58,200.8,29,0.4
2020-01-11 0:00:00,Rajasthan,3844.4,2691.08,37,54,200.8,23,0.4
2020-01-12 0:00:00,Maharashtra,5372.76,3760.93,41,48,200.88,39,0.44
2020-01-12 0:00:00,Gujarat,4316.8,3021.76,42,60,200.88,17,0.44
2020-01-12 0:00:00,Tamil Nadu,5169.78,3618.85,45,50,200.88,32,0.44
2020-01-12 0:00:00,Karnataka,3877.82,2714.47,39,53,200.88,16,0.44
2020-01-12 0:00:00,Rajasthan,3548.84,2484.19,50,52,200.88,40,0.44
2020-01-13 0:00:00,Maharashtra,5415.92,3791.14,37,54,200.96,37,0.48
2020-01-13 0:00:00,Gujarat,4367.6,3057.32,37,49,200.96,32,0.48
2020-01-13 0:00:00,Tamil Nadu,4753.76,3327.63,44,45,200.96,36,0.48
2020-01-13 0:00:00,Karnataka,4048.44,2833.91,40,47,200.96,17,0.48
2020-01-13 0:00:00,Rajasthan,3436.28,2405.4,36,60,200.96,19,0.48
2020-01-14 0:00:00,Maharashtra,5523.08,3866.16,44,55,201.04,33,0.52
2020-01-14 0:00:00,Gujarat,4659.4,3261.58,38,41,201.04,17,0.52
2020-01-14 0:00:00,Tamil Nadu,4769.74,3338.82,35,60,201.04,32,0.52
2020-01-14 0:00:00,Karnataka,4252.06,2976.44,50,50,201.04,39,0.52
2020-01-14 0:00:00,Rajasthan,3417.72,2392.4,48,49,201.04,34,0.52
2020-01-15 0:00:00,Maharashtra,5599.24,3919.47,40,56,201.12,43,0.56
2020-01-15 0:00:00,Gujarat,4276.2,2993.34,44,56,201.12,36,0.56
2020-01-15 0:00:00,Tamil Nadu,4931.72,3452.2,45,52,201.12,32,0.56
2020-01-15 0:00:00,Karnataka,4029.68,2820.78,50,45,201.12,29,0.56
2020-01-15 0:00:00,Rajasthan,3847.16,2693.01,45,49,201.12,45,0.56
2020-01-16 0:00:00,Maharashtra,5474.4,3832.08,37,53,201.2,21,0.6
2020-01-16 0:00:00,Gujarat,4533,3173.1,37,51,201.2,18,0.6
2020-01-16 0:00:00,Tamil Nadu,4917.7,3442.39,49,50,201.2,33,0.6
2020-01-16 0:00:00,Karnataka,4100.3,2870.21,42,53,201.2,15,0.6
2020-01-16 0:00:00,Rajasthan,3861.6,2703.12,44,42,201.2,35,0.6
2020-01-17 0:00:00,Maharashtra,5626.56,3938.59,37,60,201.28,42,0.64
2020-01-17 0:00:00,Gujarat,4348.8,3044.16,37,41,201.28,40,0.64
2020-01-17 0:00:00,Tamil Nadu,4945.68,3461.98,37,49,201.28,27,0.64
2020-01-17 0:00:00,Karnataka,3943.92,2760.74,35,60,201.28,38,0.64
2020-01-17 0:00:00,Rajasthan,3844.04,2690.83,50,58,201.28,41,0.64
2020-01-18 0:00:00,Maharashtra,5362.72,3753.9,45,43,201.36,25,0.68
2020-01-18 0:00:00,Gujarat,4453.6,3117.52,50,56,201.36,22,0.68
2020-01-18 0:00:00,Tamil Nadu,5182.66,3627.86,37,52,201.36,18,0.68
2020-01-18 0:00:00,Karnataka,4305.54,3013.88,41,53,201.36,27,0.68
2020-01-18 0:00:00,Rajasthan,3652.48,2556.74,45,56,201.36,41,0.68
2020-01-19 0:00:00,Maharashtra,5412.88,3789.02,38,42,201.44,22,0.72
2020-01-19 0:00:00,Gujarat,4726.4,3308.48,40,56,201.44,44,0.72
2020-01-19 0:00:00,Tamil Nadu,4735.64,3314.95,41,40,201.44,18,0.72
2020-01-19 0:00:00,Karnataka,4199.16,2939.41,41,52,201.44,41,0.72
2020-01-19 0:00:00,Rajasthan,3476.92,2433.84,42,60,201.44,41,0.72
2020-01-20 0:00:00,Maharashtra,5580.04,3906.03,37,43,201.52,42,0.76
2020-01-20 0:00:00,Gujarat,4465.2,3125.64,43,51,201.52,42,0.76
2020-01-20 0:00:00,Tamil Nadu,4787.62,3351.33,42,53,201.52,36,0.76
2020-01-20 0:00:00,Karnataka,4293.78,3005.65,45,44,201.52,28,0.76
2020-01-20 0:00:00,Rajasthan,3718.36,2602.85,48,47,201.52,33,0.76
2020-01-21 0:00:00,Maharashtra,5481.2,3836.84,41,49,201.6,45,0.8
2020-01-21 0:00:00,Gujarat,4334,3033.8,47,49,201.6,43,0.8
2020-01-21 0:00:00,Tamil Nadu,5139.6,3597.72,42,54,201.6,34,0.8
2020-01-21 0:00:00,Karnataka,3968.4,2777.88,39,57,201.6,29,0.8
2020-01-21 0:00:00,Rajasthan,3419.8,2393.86,36,57,201.6,27,0.8
2020-01-22 0:00:00,Maharashtra,5464.36,3825.05,39,51,201.68,44,0.84
2020-01-22 0:00:00,Gujarat,4575.8,3203.06,49,47,201.68,32,0.84
2020-01-22 0:00:00,Tamil Nadu,5048.58,3534.01,46,58,201.68,29,0.84
2020-01-22 0:00:00,Karnataka,3889.02,2722.31,45,49,201.68,28,0.84
2020-01-22 0:00:00,Rajasthan,3471.24,2429.87,38,56,201.68,36,0.84
2020-01-23 0:00:00,Maharashtra,5550.52,3885.36,43,40,201.76,41,0.88
2020-01-23 0:00:00,Gujarat,4470.6,3129.42,46,52,201.76,41,0.88
2020-01-23 0:00:00,Tamil Nadu,5155.56,3608.89,36,55,201.76,33,0.88
2020-01-23 0:00:00,Karnataka,4295.64,3006.95,50,53,201.76,27,0.88
2020-01-23 0:00:00,Rajasthan,3646.68,2552.68,38,60,201.76,40,0.88
2020-01-24 0:00:00,Maharashtra,5463.68,3824.58,41,53,201.84,24,0.92
2020-01-24 0:00:00,Gujarat,4361.4,3052.98,36,48,201.84,21,0.92
2020-01-24 0:00:00,Tamil Nadu,5219.54,3653.68,49,60,201.84,35,0.92
2020-01-24 0:00:00,Karnataka,4123.26,2886.28,35,52,201.84,18,0.92
2020-01-24 0:00:00,Rajasthan,3467.12,2426.98,38,48,201.84,17,0.92
2020-01-25 0:00:00,Maharashtra,5573.84,3901.69,38,47,201.92,18,0.96
2020-01-25 0:00:00,Gujarat,4597.2,3218.04,48,47,201.92,36,0.96
2020-01-25 0:00:00,Tamil Nadu,5035.52,3524.86,38,49,201.92,18,0.96
2020-01-25 0:00:00,Karnataka,4274.88,2992.42,44,40,201.92,29,0.96
2020-01-25 0:00:00,Rajasthan,3727.56,2609.29,49,57,201.92,45,0.96
2020-01-26 0:00:00,Maharashtra,5217,3651.9,43,49,202,24,1
2020-01-26 0:00:00,Gujarat,4638,3246.6,38,50,202,31,1
2020-01-26 0:00:00,Tamil Nadu,5124.5,3587.15,39,46,202,33,1
2020-01-26 0:00:00,Karnataka,3873.5,2711.45,45,45,202,41,1
2020-01-26 0:00:00,Rajasthan,3777,2643.9,48,44,202,42,1
2020-01-27 0:00:00,Maharashtra,5257.16,3680.01,37,40,202.08,16,1.04
2020-01-27 0:00:00,Gujarat,4394.8,3076.36,49,41,202.08,24,1.04
2020-01-27 0:00:00,Tamil Nadu,4782.48,3347.74,48,46,202.08,22,1.04
2020-01-27 0:00:00,Karnataka,3944.12,2760.88,38,43,202.08,35,1.04
2020-01-27 0:00:00,Rajasthan,3731.44,2612.01,36,45,202.08,22,1.04
2020-01-28 0:00:00,Maharashtra,5645.32,3951.72,37,41,202.16,44,1.08
2020-01-28 0:00:00,Gujarat,4325.6,3027.92,40,52,202.16,16,1.08
2020-01-28 0:00:00,Tamil Nadu,4936.46,3455.52,41,45,202.16,22,1.08
2020-01-28 0:00:00,Karnataka,4333.74,3033.62,37,43,202.16,28,1.08
2020-01-28 0:00:00,Rajasthan,3767.88,2637.52,39,57,202.16,27,1.08
2020-01-29 0:00:00,Maharashtra,5513.48,3859.44,47,55,202.24,19,1.12
2020-01-29 0:00:00,Gujarat,4468.4,3127.88,39,46,202.24,41,1.12
2020-01-29 0:00:00,Tamil Nadu,5106.44,3574.51,38,56,202.24,33,1.12
2020-01-29 0:00:00,Karnataka,4030.36,2821.25,49,48,202.24,36,1.12
2020-01-29 0:00:00,Rajasthan,3730.32,2611.22,49,49,202.24,25,1.12
2020-01-30 0:00:00,Maharashtra,5602.64,3921.85,45,56,202.32,26,1.16
2020-01-30 0:00:00,Gujarat,4658.2,3260.74,47,42,202.32,36,1.16
2020-01-30 0:00:00,Tamil Nadu,5236.42,3665.49,50,48,202.32,28,1.16
2020-01-30 0:00:00,Karnataka,3984.98,2789.49,41,58,202.32,15,1.16
2020-01-30 0:00:00,Rajasthan,3535.76,2475.03,35,58,202.32,40,1.16
2020-01-31 0:00:00,Maharashtra,5591.8,3914.26,40,59,202.4,22,1.2
2020-01-31 0:00:00,Gujarat,4495,3146.5,49,58,202.4,18,1.2
2020-01-31 0:00:00,Tamil Nadu,5067.4,3547.18,38,55,202.4,23,1.2
2020-01-31 0:00:00,Karnataka,3985.6,2789.92,48,52,202.4,21,1.2
2020-01-31 0:00:00,Rajasthan,3818.2,2672.74,36,46,202.4,43,1.2
2020-02-01 0:00:00,Maharashtra,6306.4,4414.48,47,54,202.48,39,1.24
2020-02-01 0:00:00,Gujarat,4929,3450.3,44,41,202.48,36,1.24
2020-02-01 0:00:00,Tamil Nadu,5528.2,3869.74,45,48,202.48,31,1.24
2020-02-01 0:00:00,Karnataka,4615.8,3231.06,48,54,202.48,40,1.24
2020-02-01 0:00:00,Rajasthan,4251.6,2976.12,49,51,202.48,36,1.24
2020-02-02 0:00:00,Maharashtra,5958.8,4171.16,44,47,202.56,31,1.28
2020-02-02 0:00:00,Gujarat,4967,3476.9,44,46,202.56,33,1.28
2020-02-02 0:00:00,Tamil Nadu,5814.4,4070.08,36,42,202.56,40,1.28
2020-02-02 0:00:00,Karnataka,4781.6,3347.12,50,50,202.56,36,1.28
2020-02-02 0:00:00,Rajasthan,4053.2,2837.24,41,41,202.56,27,1.28
2020-02-03 0:00:00,Maharashtra,5854.2,4097.94,42,41,202.64,27,1.32
2020-02-03 0:00:00,Gujarat,4838,3386.6,43,48,202.64,36,1.32
2020-02-03 0:00:00,Tamil Nadu,5569.6,3898.72,47,43,202.64,40,1.32
2020-02-03 0:00:00,Karnataka,4761.4,3332.98,37,55,202.64,16,1.32
2020-02-03 0:00:00,Rajasthan,3963.8,2774.66,38,42,202.64,18,1.32
2020-02-04 0:00:00,Maharashtra,5996.6,4197.62,39,48,202.72,17,1.36
2020-02-04 0:00:00,Gujarat,4855,3398.5,42,42,202.72,36,1.36
2020-02-04 0:00:00,Tamil Nadu,5593.8,3915.66,35,42,202.72,39,1.36
2020-02-04 0:00:00,Karnataka,4434.2,3103.94,39,43,202.72,22,1.36
2020-02-04 0:00:00,Rajasthan,3914.4,2740.08,35,59,202.72,38,1.36
2020-02-05 0:00:00,Maharashtra,6045,4231.5,45,41,202.8,36,1.4
2020-02-05 0:00:00,Gujarat,5301,3710.7,36,57,202.8,24,1.4
2020-02-05 0:00:00,Tamil Nadu,5701,3990.7,44,57,202.8,36,1.4
2020-02-05 0:00:00,Karnataka,4497,3147.9,49,47,202.8,18,1.4
2020-02-05 0:00:00,Rajasthan,4188,2931.6,41,43,202.8,26,1.4
2020-02-06 0:00:00,Maharashtra,6121.4,4284.98,46,56,202.88,17,1.44
2020-02-06 0:00:00,Gujarat,4824,3376.8,37,57,202.88,36,1.44
2020-02-06 0:00:00,Tamil Nadu,5469.2,3828.44,47,55,202.88,15,1.44
2020-02-06 0:00:00,Karnataka,4584.8,3209.36,44,59,202.88,19,1.44
2020-02-06 0:00:00,Rajasthan,3978.6,2785.02,46,57,202.88,34,1.44
2020-02-07 0:00:00,Maharashtra,5958.8,4171.16,47,50,202.96,38,1.48
2020-02-07 0:00:00,Gujarat,5146,3602.2,39,50,202.96,44,1.48
2020-02-07 0:00:00,Tamil Nadu,5696.4,3987.48,50,56,202.96,41,1.48
2020-02-07 0:00:00,Karnataka,4393.6,3075.52,39,59,202.96,40,1.48
2020-02-07 0:00:00,Rajasthan,4066.2,2846.34,42,41,202.96,27,1.48
2020-02-08 0:00:00,Maharashtra,6236.2,4365.34,41,41,203.04,15,1.52
2020-02-08 0:00:00,Gujarat,5025,3517.5,42,41,203.04,40,1.52
2020-02-08 0:00:00,Tamil Nadu,5532.6,3872.82,47,60,203.04,41,1.52
2020-02-08 0:00:00,Karnataka,4454.4,3118.08,38,52,203.04,32,1.52
2020-02-08 0:00:00,Rajasthan,4086.8,2860.76,45,46,203.04,32,1.52
2020-02-09 0:00:00,Maharashtra,6334.6,4434.22,45,53,203.12,23,1.56
2020-02-09 0:00:00,Gujarat,5005,3503.5,47,49,203.12,44,1.56
2020-02-09 0:00:00,Tamil Nadu,5464.8,3825.36,36,53,203.12,35,1.56
2020-02-09 0:00:00,Karnataka,4663.2,3264.24,45,44,203.12,40,1.56
2020-02-09 0:00:00,Rajasthan,3967.4,2777.18,46,60,203.12,45,1.56
2020-02-10 0:00:00,Maharashtra,6112,4278.4,42,46,203.2,37,1.6
2020-02-10 0:00:00,Gujarat,5328,3729.6,39,53,203.2,43,1.6
2020-02-10 0:00:00,Tamil Nadu,5627,3938.9,47,43,203.2,44,1.6
2020-02-10 0:00:00,Karnataka,4369,3058.3,39,49,203.2,25,1.6
2020-02-10 0:00:00,Rajasthan,3925,2747.5,47,58,203.2,41,1.6
2020-02-11 0:00:00,Maharashtra,6017.4,4212.18,41,60,203.28,17,1.64
2020-02-11 0:00:00,Gujarat,5161,3612.7,39,50,203.28,17,1.64
2020-02-11 0:00:00,Tamil Nadu,5677.2,3974.04,50,58,203.28,38,1.64
2020-02-11 0:00:00,Karnataka,4612.8,3228.96,49,45,203.28,32,1.64
2020-02-11 0:00:00,Rajasthan,4256.6,2979.62,37,55,203.28,44,1.64
2020-02-12 0:00:00,Maharashtra,6035.8,4225.06,37,56,203.36,22,1.68
2020-02-12 0:00:00,Gujarat,5147,3602.9,50,51,203.36,45,1.68
2020-02-12 0:00:00,Tamil Nadu,5590.4,3913.28,44,55,203.36,44,1.68
2020-02-12 0:00:00,Karnataka,4593.6,3215.52,44,45,203.36,41,1.68
2020-02-12 0:00:00,Rajasthan,4159.2,2911.44,50,53,203.36,20,1.68
2020-02-13 0:00:00,Maharashtra,6039.2,4227.44,47,53,203.44,29,1.72
2020-02-13 0:00:00,Gujarat,5183,3628.1,45,48,203.44,20,1.72
2020-02-13 0:00:00,Tamil Nadu,5351.6,3746.12,37,40,203.44,24,1.72
2020-02-13 0:00:00,Karnataka,4592.4,3214.68,42,42,203.44,34,1.72
2020-02-13 0:00:00,Rajasthan,4052.8,2836.96,50,41,203.44,36,1.72
2020-02-14 0:00:00,Maharashtra,6245.6,4371.92,48,56,203.52,41,1.76
2020-02-14 0:00:00,Gujarat,5310,3717,45,58,203.52,27,1.76
2020-02-14 0:00:00,Tamil Nadu,5414.8,3790.36,48,51,203.52,27,1.76
2020-02-14 0:00:00,Karnataka,4416.2,3091.34,49,46,203.52,16,1.76
2020-02-14 0:00:00,Rajasthan,3981.4,2786.98,47,57,203.52,33,1.76
2020-02-15 0:00:00,Maharashtra,5885,4119.5,48,55,203.6,18,1.8
2020-02-15 0:00:00,Gujarat,5092,3564.4,35,44,203.6,31,1.8
2020-02-15 0:00:00,Tamil Nadu,5505,3853.5,40,42,203.6,38,1.8
2020-02-15 0:00:00,Karnataka,4429,3100.3,39,56,203.6,42,1.8
2020-02-15 0:00:00,Rajasthan,4140,2898,45,53,203.6,28,1.8
2020-02-16 0:00:00,Maharashtra,6040.4,4228.28,41,43,203.68,27,1.84
2020-02-16 0:00:00,Gujarat,4960,3472,46,59,203.68,38,1.84
2020-02-16 0:00:00,Tamil Nadu,5519.2,3863.44,37,52,203.68,30,1.84
2020-02-16 0:00:00,Karnataka,4575.8,3203.06,38,53,203.68,25,1.84
2020-02-16 0:00:00,Rajasthan,3927.6,2749.32,38,53,203.68,34,1.84
2020-02-17 0:00:00,Maharashtra,5969.8,4178.86,39,60,203.76,30,1.88
2020-02-17 0:00:00,Gujarat,4945,3461.5,36,55,203.76,39,1.88
2020-02-17 0:00:00,Tamil Nadu,5635.4,3944.78,45,49,203.76,35,1.88
2020-02-17 0:00:00,Karnataka,4804.6,3363.22,48,49,203.76,22,1.88
2020-02-17 0:00:00,Rajasthan,4324.2,3026.94,43,50,203.76,22,1.88
2020-02-18 0:00:00,Maharashtra,6235.2,4364.64,45,51,203.84,31,1.92
2020-02-18 0:00:00,Gujarat,5107,3574.9,45,53,203.84,25,1.92
2020-02-18 0:00:00,Tamil Nadu,5721.6,4005.12,36,50,203.84,43,1.92
2020-02-18 0:00:00,Karnataka,4546.4,3182.48,40,41,203.84,27,1.92
2020-02-18 0:00:00,Rajasthan,4045.8,2832.06,39,41,203.84,18,1.92
2020-02-19 0:00:00,Maharashtra,6045.6,4231.92,50,59,203.92,33,1.96
2020-02-19 0:00:00,Gujarat,4939,3457.3,40,44,203.92,36,1.96
2020-02-19 0:00:00,Tamil Nadu,5750.8,4025.56,50,43,203.92,45,1.96
2020-02-19 0:00:00,Karnataka,4392.2,3074.54,39,43,203.92,24,1.96
2020-02-19 0:00:00,Rajasthan,4210.4,2947.28,46,41,203.92,32,1.96
2020-02-20 0:00:00,Maharashtra,6058,4240.6,44,46,204,40,2
2020-02-20 0:00:00,Gujarat,5018,3512.6,48,59,204,20,2
2020-02-20 0:00:00,Tamil Nadu,5423,3796.1,46,44,204,39,2
2020-02-20 0:00:00,Karnataka,4354,3047.8,39,45,204,33,2
2020-02-20 0:00:00,Rajasthan,4204,2942.8,48,56,204,19,2
2020-02-21 0:00:00,Maharashtra,6077.4,4254.18,50,42,204.08,17,2.04
2020-02-21 0:00:00,Gujarat,5248,3673.6,44,42,204.08,17,2.04
2020-02-21 0:00:00,Tamil Nadu,5438.2,3806.74,49,42,204.08,19,2.04
2020-02-21 0:00:00,Karnataka,4400.8,3080.56,50,54,204.08,19,2.04
2020-02-21 0:00:00,Rajasthan,3879.6,2715.72,42,46,204.08,16,2.04
2020-02-22 0:00:00,Maharashtra,6156.8,4309.76,46,51,204.16,34,2.08
2020-02-22 0:00:00,Gujarat,5346,3742.2,42,59,204.16,19,2.08
2020-02-22 0:00:00,Tamil Nadu,5769.4,4038.58,42,45,204.16,31,2.08
2020-02-22 0:00:00,Karnataka,4528.6,3170.02,41,47,204.16,31,2.08
2020-02-22 0:00:00,Rajasthan,4197.2,2938.04,45,52,204.16,38,2.08
2020-02-23 0:00:00,Maharashtra,5890.2,4123.14,46,45,204.24,41,2.12
2020-02-23 0:00:00,Gujarat,5287,3700.9,42,55,204.24,32,2.12
2020-02-23 0:00:00,Tamil Nadu,5402.6,3781.82,35,43,204.24,36,2.12
2020-02-23 0:00:00,Karnataka,4396.4,3077.48,39,41,204.24,21,2.12
2020-02-23 0:00:00,Rajasthan,4259.8,2981.86,44,55,204.24,26,2.12
2020-02-24 0:00:00,Maharashtra,6156.6,4309.62,42,54,204.32,36,2.16
2020-02-24 0:00:00,Gujarat,4929,3450.3,49,59,204.32,41,2.16
2020-02-24 0:00:00,Tamil Nadu,5614.8,3930.36,35,58,204.32,29,2.16
2020-02-24 0:00:00,Karnataka,4632.2,3242.54,47,42,204.32,33,2.16
2020-02-24 0:00:00,Rajasthan,4243.4,2970.38,36,57,204.32,34,2.16
2020-02-25 0:00:00,Maharashtra,6136,4295.2,45,40,204.4,44,2.2
2020-02-25 0:00:00,Gujarat,5221,3654.7,41,43,204.4,35,2.2
2020-02-25 0:00:00,Tamil Nadu,5585,3909.5,43,55,204.4,23,2.2
2020-02-25 0:00:00,Karnataka,4510,3157,49,46,204.4,25,2.2
2020-02-25 0:00:00,Rajasthan,3923,2746.1,50,60,204.4,18,2.2
2020-02-26 0:00:00,Maharashtra,5945.4,4161.78,37,48,204.48,16,2.24
2020-02-26 0:00:00,Gujarat,4990,3493,47,49,204.48,43,2.24
2020-02-26 0:00:00,Tamil Nadu,5780.2,4046.14,35,50,204.48,41,2.24
2020-02-26 0:00:00,Karnataka,4812.8,3368.96,38,51,204.48,20,2.24
2020-02-26 0:00:00,Rajasthan,4132.6,2892.82,37,41,204.48,37,2.24
2020-02-27 0:00:00,Maharashtra,6165.8,4316.06,42,42,204.56,44,2.28
2020-02-27 0:00:00,Gujarat,5341,3738.7,43,51,204.56,28,2.28
2020-02-27 0:00:00,Tamil Nadu,5506.4,3854.48,38,58,204.56,29,2.28
2020-02-27 0:00:00,Karnataka,4788.6,3352.02,42,54,204.56,26,2.28
2020-02-27 0:00:00,Rajasthan,3995.2,2796.64,41,53,204.56,36,2.28
2020-02-28 0:00:00,Maharashtra,6075.2,4252.64,46,43,204.64,41,2.32
2020-02-28 0:00:00,Gujarat,5167,3616.9,36,49,204.64,40,2.32
2020-02-28 0:00:00,Tamil Nadu,5533.6,3873.52,44,47,204.64,30,2.32
2020-02-28 0:00:00,Karnataka,4565.4,3195.78,39,48,204.64,34,2.32
2020-02-28 0:00:00,Rajasthan,3957.8,2770.46,44,57,204.64,31,2.32
2020-02-29 0:00:00,Maharashtra,5973.6,4181.52,39,44,204.72,17,2.36
2020-02-29 0:00:00,Gujarat,4886,3420.2,35,41,204.72,40,2.36
2020-02-29 0:00:00,Tamil Nadu,5648.8,3954.16,45,41,204.72,32,2.36
2020-02-29 0:00:00,Karnataka,4796.2,3357.34,42,53,204.72,40,2.36
2020-02-29 0:00:00,Rajasthan,4176.4,2923.48,35,55,204.72,19,2.36
2020-03-01 0:00:00,Maharashtra,6084,4258.8,44,48,204.8,18,2.4
2020-03-01 0:00:00,Gujarat,5173,3621.1,50,50,204.8,43,2.4
2020-03-01 0:00:00,Tamil Nadu,5693,3985.1,36,56,204.8,34,2.4
2020-03-01 0:00:00,Karnataka,4723,3306.1,41,53,204.8,21,2.4
2020-03-01 0:00:00,Rajasthan,3897,2727.9,38,56,204.8,15,2.4
2020-03-02 0:00:00,Maharashtra,5939.4,4157.58,39,49,204.88,35,2.44
2020-03-02 0:00:00,Gujarat,5244,3670.8,48,44,204.88,15,2.44
2020-03-02 0:00:00,Tamil Nadu,5516.2,3861.34,35,44,204.88,26,2.44
2020-03-02 0:00:00,Karnataka,4595.8,3217.06,36,45,204.88,27,2.44
2020-03-02 0:00:00,Rajasthan,4010.6,2807.42,44,47,204.88,25,2.44
2020-03-03 0:00:00,Maharashtra,6249.8,4374.86,49,51,204.96,45,2.48
2020-03-03 0:00:00,Gujarat,5095,3566.5,35,52,204.96,34,2.48
2020-03-03 0:00:00,Tamil Nadu,5712.4,3998.68,49,54,204.96,16,2.48
2020-03-03 0:00:00,Karnataka,4471.6,3130.12,49,43,204.96,36,2.48
2020-03-03 0:00:00,Rajasthan,3994.2,2795.94,40,50,204.96,19,2.48
2020-03-04 0:00:00,Maharashtra,6126.2,4288.34,45,53,205.04,17,2.52
2020-03-04 0:00:00,Gujarat,5338,3736.6,47,49,205.04,45,2.52
2020-03-04 0:00:00,Tamil Nadu,5410.6,3787.42,45,43,205.04,23,2.52
2020-03-04 0:00:00,Karnataka,4698.4,3288.88,35,53,205.04,44,2.52
2020-03-04 0:00:00,Rajasthan,4346.8,3042.76,50,50,205.04,45,2.52
